Allele,Marker,Frequency,Population,Sample_Size
PI,...22,0.02782964665326057,"1036 revised Hispanic,",=236
PI,...23,0.1545173800632002,"1036 revised Hispanic,",=236
PI,...24,0.07878483194484344,"1036 revised Hispanic,",=236
PI,...25,0.04985061113626074,"1036 revised Hispanic,",=236
PI,...26,0.018134156851479483,"1036 revised Hispanic,",=236
PI,...27,0.009946854352197661,"1036 revised Hispanic,",=236
PI,...28,0.08478167193335251,"1036 revised Hispanic,",=236
PI,...29,0.15537920137891403,"1036 revised Hispanic,",=236
PI,...30,0.07300344728526287,"1036 revised Hispanic,",=236
PPE,...2,0.4756178511840027,"1036 revised Hispanic,",=236
PPE,...3,0.5286094059955627,"1036 revised Hispanic,",=236
PPE,...4,0.7558548290790914,"1036 revised Hispanic,",=236
PPE,...5,0.6657454381194186,"1036 revised Hispanic,",=236
PPE,...6,0.5917940863285733,"1036 revised Hispanic,",=236
PPE,...7,0.7562899543460603,"1036 revised Hispanic,",=236
PPE,...8,0.6172110573254823,"1036 revised Hispanic,",=236
PPE,...9,0.7679307767422533,"1036 revised Hispanic,",=236
PPE,...10,0.6828804869004337,"1036 revised Hispanic,",=236
PPE,...11,0.43876839733378126,"1036 revised Hispanic,",=236
PPE,...12,0.747432601918911,"1036 revised Hispanic,",=236
PPE,...13,0.5249977880318281,"1036 revised Hispanic,",=236
PPE,...14,0.5427250650623825,"1036 revised Hispanic,",=236
PPE,...15,0.48252745564170624,"1036 revised Hispanic,",=236
PPE,...16,0.7485587089820791,"1036 revised Hispanic,",=236
PPE,...17,0.5761232643808193,"1036 revised Hispanic,",=236
PPE,...18,0.6303070331814107,"1036 revised Hispanic,",=236
PPE,...19,0.5828664660297157,"1036 revised Hispanic,",=236
PPE,...20,0.4635188102067687,"1036 revised Hispanic,",=236
PPE,...21,0.45062729073240504,"1036 revised Hispanic,",=236
PPE,...22,0.7585436082201715,"1036 revised Hispanic,",=236
PPE,...23,0.43742180013759546,"1036 revised Hispanic,",=236
PPE,...24,0.578942114189233,"1036 revised Hispanic,",=236
PPE,...25,0.6775100377179781,"1036 revised Hispanic,",=236
PPE,...26,0.8198954294066975,"1036 revised Hispanic,",=236
PPE,...27,0.8789599592284952,"1036 revised Hispanic,",=236
PPE,...28,0.5624445037851072,"1036 revised Hispanic,",=236
PPE,...29,0.4452181290620496,"1036 revised Hispanic,",=236
PPE,...30,0.6009133097329248,"1036 revised Hispanic,",=236
HWE,...2,0.895,"1036 revised Hispanic,",=236
HWE,...3,0.4475,"1036 revised Hispanic,",=236
HWE,...4,0.105,"1036 revised Hispanic,",=236
HWE,...5,0.821875,"1036 revised Hispanic,",=236
HWE,...6,0.664375,"1036 revised Hispanic,",=236
HWE,...7,0.669063,"1036 revised Hispanic,",=236
HWE,...8,0.091563,"1036 revised Hispanic,",=236
HWE,...9,0.277813,"1036 revised Hispanic,",=236
HWE,...10,0.987187,"1036 revised Hispanic,",=236
HWE,...11,0.135313,"1036 revised Hispanic,",=236
HWE,...12,0.724688,"1036 revised Hispanic,",=236
HWE,...13,0.039688,"1036 revised Hispanic,",=236
HWE,...14,0.911563,"1036 revised Hispanic,",=236
HWE,...15,0.451562,"1036 revised Hispanic,",=236
HWE,...16,0.554688,"1036 revised Hispanic,",=236
